Series Name,"Series Code","Country Name","Country Code","Time","Time Code","Value"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2004","YR2004","52.0400408112273"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2005","YR2005","50.9981426354222"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2006","YR2006","49.583916015048"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2007","YR2007","48.4526503871352"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2008","YR2008","48.0577089921917"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2009","YR2009","48.5681899812948"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2010","YR2010","49.371125305279"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2011","YR2011","49.861184837908"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2012","YR2012","50.2949983832495"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2013","YR2013","50.716190990471"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2014","YR2014","51.0528938432009"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2015","YR2015","51.2045962511484"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2016","YR2016","51.0605432863782"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2017","YR2017","50.530187132606"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2018","YR2018","49.9028895150426"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2019","YR2019","49.6167906685312"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2020","YR2020","49.8828216066323"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2021","YR2021","50.4989415167822"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2022","YR2022","51.0830831780987"
Age dependency ratio (% of working-age population),"SP.POP.DPND","Iceland","ISL","2023","YR2023","51.6207939290048"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2004","YR2004","61.9623214465652"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2005","YR2005","61.0573345444543"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2006","YR2006","60.1209646695818"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2007","YR2007","59.155016427882"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2008","YR2008","58.2056112132693"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2009","YR2009","57.2811081750564"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2010","YR2010","56.3591581653336"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2011","YR2011","55.4465917810221"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2012","YR2012","54.5574958742315"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2013","YR2013","53.6951348540074"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2014","YR2014","52.894428617527"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2015","YR2015","52.1481006879403"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2016","YR2016","51.4097340754424"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2017","YR2017","50.6848281757911"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2018","YR2018","50.0189279816183"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2019","YR2019","49.4010293143275"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2020","YR2020","48.7755481062802"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2021","YR2021","48.1263254343601"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2022","YR2022","47.4986163806902"
Age dependency ratio (% of working-age population),"SP.POP.DPND","India","IND","2023","YR2023","46.9992476605648"
,"","","","","",""
,"","","","","",""
,"","","","","",""
Data from database: Gender Statistics,"","","","","",""
Last Updated: 09/24/2024,"","","","","",""
